instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,title,iscross
"Collins,Karen L.",.M..... 04:30PM-05:45PM;,SCIE618;,19,4,3,8,NA,2,2,5,3,FALSE,01,MATH211,Fall2017,Problem Solving for the Putnam,FALSE
"Scowcroft,Philip H.",.M.W.F. 09:50AM-10:40AM;,SCIE139;,25,5,5,11,NA,0,10,5,0,FALSE,01,MATH243,Fall2017,Mathematical Logic,FALSE
"Adeboye,Ilesanmi",.M.W.F. 10:50AM-11:40AM;,SCIE109;,30,5,5,3,NA,5,5,10,0,FALSE,01,MATH252,Fall2017,Differential Forms,FALSE
"Li,Han",..T.R.. 01:20PM-02:40PM;,SCIE618;,25,13,12,21,NA,0,0,0,0,FALSE,01,MATH255,Fall2017,Fundamentals of Analysis II,FALSE
"Hill,Cameron Donnay",..T.R.. 02:50PM-04:10PM;,SCIE109;,40,20,15,12,NA,NA,NA,5,NA,FALSE,01,MATH261,Fall2017,"Abstract Algebra: Groups, Rings, and Fields",FALSE
"Collins,Karen L.",..T.R.. 02:50PM-04:10PM;,SCIE201;,29,15,14,12,NA,0,0,0,0,FALSE,02,MATH261,Fall2017,"Abstract Algebra: Groups, Rings, and Fields",FALSE
"Fieldsteel,Adam",..T.R.. 08:50AM-10:10AM;,SCIE618;,16,4,2,5,10,0,0,0,0,FALSE,01,MATH513,Fall2017,Analysis I,FALSE
"Constantine,David A.",..T.R.. 10:20AM-11:40AM;,SCIE618;,16,2,0,8,14,0,0,0,0,FALSE,01,MATH515,Fall2017,Analysis II,FALSE
"Adeboye,Ilesanmi",.M.W.F. 08:50AM-09:40AM;,SCIE638;,16,4,2,8,10,0,0,0,0,FALSE,01,MATH523,Fall2017,Topology I,FALSE
"Collins,Karen L.",.M.W.F. 09:50AM-10:40AM;,SCIE618;,16,2,0,16,14,0,0,0,0,FALSE,01,MATH525,Fall2017,Topology II: Topics in Topology,FALSE
"Scowcroft,Philip H.",.M.W.F. 10:50AM-11:40AM;,SCIE618;,16,4,2,7,10,0,0,0,0,FALSE,01,MATH543,Fall2017,Algebra I,FALSE
"Chan,Wai Kiu",.M.W... 02:50PM-04:10PM;,SCIE638;,16,4,2,7,10,0,0,0,0,FALSE,01,MATH545,Fall2017,Algebra II: Topics in Algebra,FALSE
"Riley,Mitchell Vern",.M.W.F. 08:50AM-09:40AM; .M..... 12:20PM-01:10PM;,SCIE113;  SCIE113;,19,0,0,1,NA,0,0,6,13,FALSE,01,MATH118,Spring2018,Introductory Calculus II: Integration and Its Applications,FALSE
"Parnes,Miriam",.M.W.F. 09:50AM-10:40AM; .M..... 12:20PM-01:10PM;,SCIE139;  SCIE139;,19,0,0,1,NA,0,0,6,13,FALSE,02,MATH118,Spring2018,Introductory Calculus II: Integration and Its Applications,FALSE
"Rasmussen,Christopher",.M.W.F. 09:50AM-10:40AM;,SCIE113;,19,NA,NA,6,NA,0,1,6,12,FALSE,01,MATH120,Spring2018,"Elements of Calculus, Part II",FALSE
"Sawyer,Noelle",.M.W.F. 10:50AM-11:40AM;,SCIE109;,19,NA,NA,6,NA,0,1,6,12,FALSE,02,MATH120,Spring2018,"Elements of Calculus, Part II",FALSE
"Collins,Karen L.",.M.W... 01:20PM-02:40PM;,SCIE201;,25,0,0,0,NA,2,2,7,14,FALSE,01,MATH121,Spring2018,"Calculus I, Part I",FALSE
"Huang,Jonathan",.M.W.F. 08:50AM-09:40AM;,SCIE137;,30,0,0,10,NA,0,0,10,20,FALSE,01,MATH122,Spring2018,"Calculus I, Part II",FALSE
"Huang,Jonathan",.M.W.F. 10:50AM-11:40AM;,SCIE137;,30,0,0,7,NA,0,0,10,20,FALSE,02,MATH122,Spring2018,"Calculus I, Part II",FALSE
"Pollack,David",..T.R.. 02:50PM-04:10PM;,SCIE137;,30,0,0,3,NA,0,0,10,20,FALSE,03,MATH122,Spring2018,"Calculus I, Part II",FALSE
"Leidy,Constance",.M.W.F. 09:50AM-10:40AM;,SCIE638;,25,10,10,13,NA,0,0,5,0,FALSE,01,MATH244,Spring2018,Topology: Point Set,FALSE
"Rasmussen,Christopher",.M.W... 01:20PM-02:40PM;,SCIE638;,25,5,5,16,NA,5,5,5,NA,FALSE,01,MATH262,Spring2018,Abstract Algebra,FALSE
"Chan,Wai Kiu",.M.W... 02:50PM-04:10PM;,SCIE618;,25,5,5,12,NA,5,5,5,0,FALSE,01,MATH272,Spring2018,Elementary Number Theory,FALSE
"Collins,Karen L.",.M.W.F. 10:50AM-11:40AM;,SCIE201;,25,5,5,7,NA,5,5,5,0,FALSE,01,MATH274,Spring2018,Graph Theory,FALSE
"Ram�rez,Felipe A.",..T.R.. 10:20AM-11:40AM;,SCIE618;,16,4,2,9,10,0,0,0,0,FALSE,01,MATH514,Spring2018,Analysis I,FALSE
"Li,Han",..T.R.. 10:20AM-11:40AM;,SCIE638;,16,2,0,7,14,0,0,0,0,FALSE,01,MATH516,Spring2018,Analysis II,FALSE
"Leidy,Constance",.M.W... 02:50PM-04:10PM;,SCIE638;,16,4,2,8,10,0,0,0,0,FALSE,01,MATH524,Spring2018,Topology I,FALSE
"Hildum,Alyson",.M.W... 01:20PM-02:40PM;,SCIE339;,16,2,0,12,14,0,0,0,0,FALSE,01,MATH526,Spring2018,Topology II,FALSE
"Hill,Cameron Donnay",..T.R.. 02:50PM-04:10PM;,SCIE618;,16,4,2,6,10,0,0,0,0,FALSE,01,MATH544,Spring2018,Algebra I,FALSE
"Pollack,David",..T.R.. 01:20PM-02:40PM;,SCIE618;,16,2,0,10,14,0,0,0,0,FALSE,01,MATH546,Spring2018,Algebra II,FALSE
"Lane,Robert P.",..T.R.. 01:20PM-02:40PM;,SCIE137;,19,NA,NA,5,NA,2,2,10,5,FALSE,01,MB&B103,Fall2017,"Copernicus, Darwin, and the Human Genome Project",FALSE
"Hingorani,Manju",.M..... 12:15PM-01:15PM;,SHAN201;,19,3,3,12,13,0,0,0,0,FALSE,01,MB&B585,Fall2017,Seminar in Molecular Biology,TRUE
"Holmes,Scott G.",..T.R.. 08:50AM-10:10AM;,SCIE113;,19,5,4,6,10,0,0,0,0,FALSE,01,MB&B506,Fall2017,Epigenetics,TRUE
"MacQueen,Amy",.M.W... 01:20PM-02:40PM;,HALL56;,19,5,4,14,10,0,0,0,0,FALSE,01,MB&B543,Fall2017,The Hidden World: Microscopy and Its Central Role in Cell and Molecular Biology,TRUE
